Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,284,47688,34911,22478,3951,8260,360,4517,17341,193,882
E:\UPOEngine\Src,284,47688,34911,22478,3951,8260,360,4517,17341,193,882
E:\UPOEngine\Src\TestModule1,1,35,28,13,2,7,0,0,0,0,0
E:\UPOEngine\Src\TestModule2,1,34,27,12,2,7,0,0,0,0,0
E:\UPOEngine\Src\UPOEd,50,6911,5026,3156,467,1260,122,625,2018,77,389
E:\UPOEngine\Src\UPOEd\GeneratedFiles,11,1160,882,549,41,197,73,81,473,77,389
E:\UPOEngine\Src\UPOEd\GeneratedFiles\Debug,3,338,264,108,32,49,44,25,156,21,108
E:\UPOEngine\Src\UPOEngine,231,40699,29823,19294,3479,6984,238,3892,15323,116,493
E:\UPOEngine\Src\UPOEngine\Core,66,12559,9583,6186,1419,1886,79,1090,4549,59,417
E:\UPOEngine\Src\UPOEngine\Engine,72,11490,8132,5254,719,2314,53,1044,3365,0,0
E:\UPOEngine\Src\UPOEngine\GFX,15,1311,968,719,41,270,6,73,192,0,0
E:\UPOEngine\Src\UPOEngine\GFXCore,24,6180,4611,2958,584,920,40,649,2816,0,0
E:\UPOEngine\Src\UPOEngine\Meta,10,1969,1425,881,127,300,23,244,883,0,0
E:\UPOEngine\Src\UPOEngine\Misc,7,949,667,378,130,155,7,127,359,0,0
E:\UPOEngine\Src\UPOEngine\Object,8,1795,1420,838,159,253,16,122,322,0,0
E:\UPOEngine\Src\UPOEngine\dump,26,4179,2840,1990,288,823,14,516,2794,57,76
E:\UPOEngine\Src\UPOEngine\dump\RasterTech,21,2962,1887,1255,243,621,2,454,2493,57,76
E:\UPOEngine\Src\UPOLauncher,1,9,7,3,1,2,0,0,0,0,0
