File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\UPOEngine\Src\UPOEngine\Test.cpp,173,134,76,10,29,2,10,33,0,0
C:\UPOEngine\Src\UPOEngine\VKTest.cpp,26,18,12,0,8,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Test.h,9,6,3,0,3,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\UPOEngine.h,10,8,0,0,2,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\VKTest.h,9,7,3,0,2,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Core\UArray.cpp,124,106,61,17,15,0,3,17,0,0
C:\UPOEngine\Src\UPOEngine\Core\UBasic.cpp,15,12,4,0,3,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Core\UBuffer.cpp,92,83,46,8,3,0,6,6,0,0
C:\UPOEngine\Src\UPOEngine\Core\UConfig.cpp,275,227,137,50,46,8,2,23,0,0
C:\UPOEngine\Src\UPOEngine\Core\UEngineConfig.cpp,27,18,12,1,8,0,1,5,0,0
C:\UPOEngine\Src\UPOEngine\Core\UFileSys.cpp,145,113,75,41,21,0,11,17,0,0
C:\UPOEngine\Src\UPOEngine\Core\UFileSys_Win.cpp,91,65,36,9,24,3,2,10,0,0
C:\UPOEngine\Src\UPOEngine\Core\UHash.cpp,55,49,28,8,6,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Core\ULog.cpp,219,181,108,17,23,1,15,31,0,0
C:\UPOEngine\Src\UPOEngine\Core\UModule.cpp,134,104,62,22,20,1,10,31,0,0
C:\UPOEngine\Src\UPOEngine\Core\UName.cpp,133,109,68,14,17,3,7,45,0,0
C:\UPOEngine\Src\UPOEngine\Core\UStream.cpp,122,99,57,10,10,0,13,13,0,0
C:\UPOEngine\Src\UPOEngine\Core\UString.cpp,293,237,137,53,36,8,20,80,0,0
C:\UPOEngine\Src\UPOEngine\Core\UThreading.cpp,19,14,8,2,3,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\Core\UThreading_Win.cpp,18,13,6,1,3,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\Core\UTimer.cpp,35,28,17,3,6,1,1,3,0,0
C:\UPOEngine\Src\UPOEngine\Core\UVector.cpp,56,41,18,0,14,0,1,1,0,0
C:\UPOEngine\Src\UPOEngine\Core\UArray.h,473,397,250,50,24,3,52,309,0,0
C:\UPOEngine\Src\UPOEngine\Core\UBasic.h,482,364,215,19,79,0,39,188,0,0
C:\UPOEngine\Src\UPOEngine\Core\UBuffer.h,28,21,15,0,6,0,1,1,0,0
C:\UPOEngine\Src\UPOEngine\Core\UConfig.h,80,56,36,4,15,0,9,46,0,0
C:\UPOEngine\Src\UPOEngine\Core\UCore.h,19,19,0,0,0,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Core\UDelegate.h,60,50,26,3,7,0,3,1,0,0
C:\UPOEngine\Src\UPOEngine\Core\UEngineConfig.h,20,12,7,0,5,0,3,2,0,0
C:\UPOEngine\Src\UPOEngine\Core\UFileSys.h,70,50,31,0,10,0,10,105,0,0
C:\UPOEngine\Src\UPOEngine\Core\UHash.h,22,16,12,0,6,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Core\ULog.h,10,5,2,0,5,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Core\UMemory.h,46,32,21,2,11,0,3,21,0,0
C:\UPOEngine\Src\UPOEngine\Core\UModule.h,56,39,30,0,15,2,2,16,0,0
C:\UPOEngine\Src\UPOEngine\Core\UName.h,140,117,74,14,21,2,2,10,0,0
C:\UPOEngine\Src\UPOEngine\Core\UQueue.h,207,141,89,21,27,3,39,170,0,0
C:\UPOEngine\Src\UPOEngine\Core\URefCount.h,87,75,44,8,10,0,2,2,0,0
C:\UPOEngine\Src\UPOEngine\Core\UStream.h,124,73,53,2,22,0,29,120,0,0
C:\UPOEngine\Src\UPOEngine\Core\UString.h,182,160,94,19,12,1,10,41,0,0
C:\UPOEngine\Src\UPOEngine\Core\UThreading.h,30,15,7,0,9,0,6,10,0,0
C:\UPOEngine\Src\UPOEngine\Core\UThreading_Win.h,203,144,81,12,26,5,33,345,0,0
C:\UPOEngine\Src\UPOEngine\Core\UTimer.h,79,60,34,4,14,0,5,16,0,0
C:\UPOEngine\Src\UPOEngine\Core\UTree.h,136,122,72,13,8,8,6,53,0,0
C:\UPOEngine\Src\UPOEngine\Core\UVector.h,758,638,391,87,102,0,18,43,0,0
C:\UPOEngine\Src\UPOEngine\dump\_URenderer.cpp,156,111,75,2,36,0,9,10,0,0
C:\UPOEngine\Src\UPOEngine\dump\_URenderer.h,117,88,75,1,24,0,5,6,0,0
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\cameraclass.cpp,150,83,49,12,27,0,40,177,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\d3dclass.cpp,424,268,185,38,92,1,64,419,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\DInput.cpp,202,146,89,42,33,0,23,222,0,0
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\graphicsclass.cpp,217,142,89,29,47,0,28,154,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\inputclass.cpp,80,52,27,4,21,0,7,49,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\lightclass.cpp,80,55,28,5,22,0,3,4,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\lightshaderclass.cpp,462,304,219,42,90,0,68,623,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\modelclass.cpp,370,244,172,39,75,1,51,253,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\systemclass.cpp,310,199,129,27,64,0,47,394,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\textureclass.cpp,55,34,17,5,16,0,5,12,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\cameraclass.h,46,26,19,0,11,0,9,13,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\d3dclass.h,80,39,32,0,19,0,22,41,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\DInput.h,34,26,17,0,8,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\DirectSound.h,70,43,27,0,15,0,12,17,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\graphicsclass.h,51,28,18,0,11,0,12,19,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\inputclass.h,40,25,19,0,9,0,6,9,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\lightclass.h,43,27,20,0,7,0,9,13,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\lightshaderclass.h,74,54,37,0,11,0,9,13,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\modelclass.h,75,47,34,0,16,0,12,19,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\systemclass.h,66,29,19,0,19,0,18,29,3,4
C:\UPOEngine\Src\UPOEngine\dump\RasterTech\textureclass.h,33,16,9,0,8,0,9,13,3,4
C:\UPOEngine\Src\UPOEngine\Engine\UAsset.cpp,74,52,26,5,16,0,6,6,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UAssetSys.cpp,285,213,141,49,49,1,23,34,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UComponent.cpp,192,162,95,23,25,3,5,25,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UEngine.cpp,105,72,47,10,33,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UEntity.cpp,244,199,112,28,29,3,16,52,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UGameWindow.cpp,269,198,138,26,45,1,26,194,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UInput.cpp,92,73,44,7,19,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UMaterial.cpp,7,4,2,0,3,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Engine\USMesh.cpp,55,42,15,3,9,0,4,4,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UTestAsset.cpp,48,36,15,0,12,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UTexture2D.cpp,6,4,2,0,2,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UWorld.cpp,160,135,75,21,21,0,4,5,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UWorldSetting.cpp,11,9,2,0,2,0,0,0,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UAsset.h,84,57,48,0,23,1,4,11,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UAssetSys.h,77,55,43,0,16,1,6,23,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UBehavior.h,13,8,4,0,4,0,1,1,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UComponent.h,62,44,31,1,17,1,1,2,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UEngine.h,48,30,18,0,12,0,6,12,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UEntity.h,132,102,70,4,26,0,4,14,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UGameWindow.h,22,17,12,0,4,0,1,1,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UInput.h,40,32,20,0,7,0,1,12,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UMaterial.h,14,8,4,0,2,0,4,4,0,0
C:\UPOEngine\Src\UPOEngine\Engine\USMesh.h,46,32,22,0,10,0,4,4,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UTestAsset.h,27,20,14,0,6,0,1,1,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UTexture2D.h,18,13,7,0,4,0,1,1,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UWorld.h,144,53,41,0,15,0,76,184,0,0
C:\UPOEngine\Src\UPOEngine\Engine\UWorldSetting.h,17,12,6,0,4,0,1,1,0,0
C:\UPOEngine\Src\UPOEngine\GFX\UMeshDrawer.cpp,6,4,2,0,2,0,0,0,0,0
